function_call,dictionary
calculate_rental_cost,"{'name': 'calculate_rental_cost', 'description': 'Calculate the total cost of a rental', 'parameters': {'type': 'object', 'properties': {'rent_per_day': {'type': 'number', 'description': 'The rental cost per day'}, 'rental_duration': {'type': 'integer', 'description': 'The duration of rental in days'}, 'insurance': {'type': 'boolean', 'description': 'Whether insurance is required or not'}}, 'required': ['rent_per_day', 'rental_duration']}}"
check_anagram,"{'name': 'check_anagram', 'description': 'Check if two strings are anagrams', 'parameters': {'type': 'object', 'properties': {'string1': {'type': 'string', 'description': 'The first string'}, 'string2': {'type': 'string', 'description': 'The second string'}}, 'required': ['string1', 'string2']}}"
search_events,"{'name': 'search_events', 'description': 'Search for events based on location and date', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The city or address to search for events'}, 'start_date': {'type': 'string', 'description': 'The start date of the events in the format YYYY-MM-DD'}, 'end_date': {'type': 'string', 'description': 'The end date of the events in the format YYYY-MM-DD'}}, 'required': ['location', 'start_date', 'end_date']}}"
check_prime_number,"{'name': 'check_prime_number', 'description': 'Check if a number is prime', 'parameters': {'type': 'object', 'properties': {'number': {'type': 'integer', 'description': 'The number to check for prime'}}, 'required': ['number']}}"
calculate_net_salary,"{'name': 'calculate_net_salary', 'description': 'Calculate the net salary after deducting taxes and other deductions', 'parameters': {'type': 'object', 'properties': {'gross_salary': {'type': 'number', 'description': 'The gross salary before deductions'}, 'tax_percentage': {'type': 'number', 'description': 'The percentage of tax to be deducted'}, 'other_deductions': {'type': 'number', 'description': 'Any other deductions (optional)'}}, 'required': ['gross_salary', 'tax_percentage']}}"
calculate_tip_amount,"{'name': 'calculate_tip_amount', 'description': 'Calculate the tip amount based on the bill total and tip percentage', 'parameters': {'type': 'object', 'properties': {'bill_total': {'type': 'number', 'description': 'The total amount of the bill'}, 'tip_percentage': {'type': 'number', 'description': 'The percentage of the tip'}}, 'required': ['bill_total', 'tip_percentage']}}"
find_nearby_gas_stations,"{'name': 'find_nearby_gas_stations', 'description': 'Find nearby gas stations', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location to search for gas stations'}}, 'required': ['location']}}"
check_email_existence,"{'name': 'check_email_existence', 'description': 'Check if an email address exists', 'parameters': {'type': 'object', 'properties': {'email': {'type': 'string', 'description': 'The email address to be checked'}}, 'required': ['email']}}"
delete_calendar_event,"{'name': 'delete_calendar_event', 'description': 'Delete a specific calendar event', 'parameters': {'type': 'object', 'properties': {'event_id': {'type': 'integer', 'description': 'The ID of the event to be deleted'}}, 'required': ['event_id']}}"
add_task,"{'name': 'add_task', 'description': 'Add a new task to the to-do list', 'parameters': {'type': 'object', 'properties': {'task': {'type': 'string', 'description': 'The task to be added'}}, 'required': ['task']}}"
generate_password_reset_token,"{'name': 'generate_password_reset_token', 'description': 'Generate a password reset token for a user', 'parameters': {'type': 'object', 'properties': {'email': {'type': 'string', 'description': 'The email address of the user'}}, 'required': ['email']}}"
calculate_fibonacci_series,"{'name': 'calculate_fibonacci_series', 'description': 'Calculate the Fibonacci series', 'parameters': {'type': 'object', 'properties': {'n': {'type': 'integer', 'description': 'The number of terms in the Fibonacci series'}}, 'required': ['n']}}"
convert_length,"{'name': 'convert_length', 'description': 'Convert length between different units', 'parameters': {'type': 'object', 'properties': {'length': {'type': 'number', 'description': 'The length value'}, 'from_unit': {'type': 'string', 'description': 'The unit to convert from'}, 'to_unit': {'type': 'string', 'description': 'The unit to convert to'}}, 'required': ['length', 'from_unit', 'to_unit']}}"
create_recipe,"{'name': 'create_recipe', 'description': 'Create a new recipe with ingredients and instructions', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the recipe'}, 'ingredients': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The list of ingredients'}, 'instructions': {'type': 'string', 'description': 'The cooking instructions'}}, 'required': ['title', 'ingredients', 'instructions']}}"
simulate_dice_roll,"{'name': 'simulate_dice_roll', 'description': 'Simulate the roll of a dice', 'parameters': {'type': 'object', 'properties': {'number_of_dice': {'type': 'integer', 'minimum': 1, 'maximum': 5, 'description': 'The number of dice to roll'}}, 'required': ['number_of_dice']}}"
make_payment,"{'name': 'make_payment', 'description': 'Make a payment', 'parameters': {'type': 'object', 'properties': {'amount': {'type': 'number', 'description': 'The payment amount'}, 'recipient': {'type': 'string', 'description': 'The recipient of the payment'}}}}"
generate_quote_of_the_day,"{'name': 'generate_quote_of_the_day', 'description': 'Generate a random quote of the day', 'parameters': {}}"
analyze_customer_feedback,"{'name': 'analyze_customer_feedback', 'description': 'Analyze the sentiment of customer feedback and provide insights', 'parameters': {'type': 'object', 'properties': {'feedback': {'type': 'string', 'description': 'The customer feedback to analyze'}}, 'required': ['feedback']}}"
check_phone_number,"{'name': 'check_phone_number', 'description': 'Check if a phone number is valid', 'parameters': {'type': 'object', 'properties': {'phone_number': {'type': 'string', 'description': 'The phone number to check'}}, 'required': ['phone_number']}}"
calculate_calories_burned,"{'name': 'calculate_calories_burned', 'description': 'Calculate the calories burned during a physical activity', 'parameters': {'type': 'object', 'properties': {'activity': {'type': 'string', 'description': 'The activity performed'}, 'duration': {'type': 'integer', 'description': 'The duration of the activity in minutes'}, 'user_weight': {'type': 'number', 'description': 'The weight of the user in kilograms'}}, 'required': ['activity', 'duration', 'user_weight']}}"
generate_invoice_number,"{'name': 'generate_invoice_number', 'description': 'Generate a unique invoice number based on a predefined format', 'parameters': {'type': 'object', 'properties': {'prefix': {'type': 'string', 'description': 'The prefix for the invoice number'}, 'year': {'type': 'integer', 'description': 'The year of the invoice'}}, 'required': ['prefix', 'year']}}"
get_user_profile,"{'name': 'get_user_profile', 'description': 'Get the user profile information', 'parameters': {'type': 'object', 'properties': {'user_id': {'type': 'string', 'description': 'The unique identifier of the user'}}, 'required': ['user_id']}}"
get_random_recipe,"{'name': 'get_random_recipe', 'description': 'Get a random recipe', 'parameters': {}}"
make_notes,"{'name': 'make_notes', 'description': 'Make notes for a given topic', 'parameters': {'type': 'object', 'properties': {'topic': {'type': 'string', 'description': 'The topic for which notes need to be made'}, 'notes': {'type': 'string', 'description': 'The content of the notes'}}, 'required': ['topic', 'notes']}}"
calculate_duration,"{'name': 'calculate_duration', 'description': 'Calculate the duration between two dates', 'parameters': {'type': 'object', 'properties': {'start_date': {'type': 'string', 'format': 'date', 'description': 'The start date in the format YYYY-MM-DD'}, 'end_date': {'type': 'string', 'format': 'date', 'description': 'The end date in the format YYYY-MM-DD'}}, 'required': ['start_date', 'end_date']}}"
play_game,"{'name': 'play_game', 'description': 'Play a game with specified parameters', 'parameters': {'type': 'object', 'properties': {'game_name': {'type': 'string', 'description': 'The name of the game'}, 'difficulty': {'type': 'string', 'description': 'The difficulty level of the game'}, 'players': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The players participating in the game'}}, 'required': ['game_name', 'players']}}"
generate_fake_data,"{'name': 'generate_fake_data', 'description': 'Generate fake data for testing or simulation purposes', 'parameters': {'type': 'object', 'properties': {'data_type': {'type': 'string', 'enum': ['name', 'email', 'address', 'phone_number'], 'description': 'The type of fake data to be generated'}, 'quantity': {'type': 'integer', 'description': 'The number of fake data entries to generate'}}, 'required': ['data_type', 'quantity']}}"
get_location_details,"{'name': 'get_location_details', 'description': 'Get details about a specific location', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The name of the location'}}, 'required': ['location']}}"
find_max_value,"{'name': 'find_max_value', 'description': 'Find the maximum value in an array', 'parameters': {'type': 'object', 'properties': {'array': {'type': 'array', 'items': {'type': 'number'}, 'description': 'The array to search in'}}, 'required': ['array']}}"
get_location_coordinates,"{'name': 'get_location_coordinates', 'description': 'Get the latitude and longitude coordinates of a location', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The city and state, e.g. San Francisco, CA'}}, 'required': ['location']}}"
set_alarm,"{'name': 'set_alarm', 'description': 'Set an alarm', 'parameters': {'type': 'object', 'properties': {'time': {'type': 'string', 'description': 'The time for the alarm (in HH:MM format)'}}, 'required': ['time']}}"
find_song_lyrics,"{'name': 'find_song_lyrics', 'description': 'Find the lyrics of a song based on title and artist', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the song'}, 'artist': {'type': 'string', 'description': 'The artist of the song'}}, 'required': ['title', 'artist']}}"
calculate_hypotenuse,"{'name': 'calculate_hypotenuse', 'description': 'Calculate the length of the hypotenuse in a right-angled triangle', 'parameters': {'type': 'object', 'properties': {'side1': {'type': 'number', 'description': 'The length of side 1'}, 'side2': {'type': 'number', 'description': 'The length of side 2'}}, 'required': ['side1', 'side2']}}"
validate_email_address,"{'name': 'validate_email_address', 'description': 'Validate if an email address is in a correct format', 'parameters': {'type': 'object', 'properties': {'email': {'type': 'string', 'description': 'The email address to validate'}}, 'required': ['email']}}"
recommend_movie,"{'name': 'recommend_movie', 'description': ""Recommend a movie based on user's preferences"", 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The preferred genre of the movie'}, 'rating': {'type': 'number', 'description': 'The minimum rating of the movie'}}, 'required': ['genre', 'rating']}}"
calculate_total_price,"{'name': 'calculate_total_price', 'description': 'Calculate the total price of multiple items', 'parameters': {'type': 'object', 'properties': {'items': {'type': 'array', 'items': {'type': 'number'}, 'description': 'The prices of the items'}}, 'required': ['items']}}"
create_event_reminder,"{'name': 'create_event_reminder', 'description': 'Create a reminder for an upcoming event', 'parameters': {'type': 'object', 'properties': {'event_name': {'type': 'string', 'description': 'The name of the event'}, 'event_date': {'type': 'string', 'description': 'The date of the event'}, 'event_time': {'type': 'string', 'description': 'The time of the event'}}, 'required': ['event_name', 'event_date', 'event_time']}}"
play_sound_effect,"{'name': 'play_sound_effect', 'description': 'Play a sound effect', 'parameters': {'type': 'object', 'properties': {'sound': {'type': 'string', 'description': 'The sound effect to be played'}}, 'required': ['sound']}}"
check_website_availability,"{'name': 'check_website_availability', 'description': 'Check the availability of a website', 'parameters': {'type': 'object', 'properties': {'website': {'type': 'string', 'description': 'The website URL to check'}}, 'required': ['website']}}"
search_image,"{'name': 'search_image', 'description': 'Search for an image based on a keyword', 'parameters': {'type': 'object', 'properties': {'keyword': {'type': 'string', 'description': 'The keyword for the image search'}}, 'required': ['keyword']}}"
create_todo_task,"{'name': 'create_todo_task', 'description': 'Create a new todo task', 'parameters': {'type': 'object', 'properties': {'task_title': {'type': 'string', 'description': 'The title of the task'}, 'due_date': {'type': 'string', 'description': 'The due date of the task'}}, 'required': ['task_title', 'due_date']}}"
get_top_news,"{'name': 'get_top_news', 'description': 'Get the top news headlines', 'parameters': {}}"
calculate_mean,"{'name': 'calculate_mean', 'description': 'Calculate the mean of a list of numbers', 'parameters': {'type': 'object', 'properties': {'numbers': {'type': 'array', 'items': {'type': 'number'}, 'description': 'The list of numbers'}}, 'required': ['numbers']}}"
get_time_zone,"{'name': 'get_time_zone', 'description': 'Get the time zone of a location', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location'}}, 'required': ['location']}}"
recommend_movies,"{'name': 'recommend_movies', 'description': 'Recommend movies based on user preferences', 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The preferred genre of movies'}, 'release_year': {'type': 'integer', 'description': 'The preferred release year of movies'}, 'actors': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The preferred actors in movies'}}, 'required': ['genre']}}"
calculate_combinations,"{'name': 'calculate_combinations', 'description': 'Calculate the number of combinations', 'parameters': {'type': 'object', 'properties': {'n': {'type': 'integer', 'description': 'The total number of items'}, 'r': {'type': 'integer', 'description': 'The number of items to choose'}}, 'required': ['n', 'r']}}"
calculate_taxes,"{'name': 'calculate_taxes', 'description': 'Calculate the taxes based on income and tax rate', 'parameters': {'type': 'object', 'properties': {'income': {'type': 'number', 'description': 'The income amount'}, 'tax_rate': {'type': 'number', 'description': 'The tax rate in percentage'}}, 'required': ['income', 'tax_rate']}}"
calculate_pace,"{'name': 'calculate_pace', 'description': 'Calculate the pace based on distance and time', 'parameters': {'type': 'object', 'properties': {'distance': {'type': 'number', 'description': 'The distance in kilometers'}, 'time': {'type': 'number', 'description': 'The time taken in minutes'}}, 'required': ['distance', 'time']}}"
take_notes,"{'name': 'take_notes', 'description': 'Take notes and save them', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the note'}, 'content': {'type': 'string', 'description': 'The content of the note'}}, 'required': ['title', 'content']}}"
check_word_anagram,"{'name': 'check_word_anagram', 'description': 'Check if two words are anagrams', 'parameters': {'type': 'object', 'properties': {'word1': {'type': 'string', 'description': 'The first word'}, 'word2': {'type': 'string', 'description': 'The second word'}}, 'required': ['word1', 'word2']}}"
generate_checksum,"{'name': 'generate_checksum', 'description': 'Generate a checksum for a given string', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The string for which the checksum should be generated'}}, 'required': ['text']}}"
calculate_age_in_hours,"{'name': 'calculate_age_in_hours', 'description': 'Calculate the age in hours based on the birthdate', 'parameters': {'type': 'object', 'properties': {'birthdate': {'type': 'string', 'format': 'date-time', 'description': 'The birthdate of the person'}}, 'required': ['birthdate']}}"
solve_equation,"{'name': 'solve_equation', 'description': 'Solve a mathematical equation', 'parameters': {'type': 'object', 'properties': {'equation': {'type': 'string', 'description': 'The equation to solve'}}, 'required': ['equation']}}"
calculate_perimeter,"{'name': 'calculate_perimeter', 'description': 'Calculate the perimeter of a shape', 'parameters': {'type': 'object', 'properties': {'shape': {'type': 'string', 'description': 'The shape for which to calculate the perimeter'}, 'dimensions': {'type': 'array', 'items': {'type': 'number'}, 'description': 'The dimensions of the shape'}}, 'required': ['shape', 'dimensions']}}"
get_book_details,"{'name': 'get_book_details', 'description': 'Get details of a book', 'parameters': {'type': 'object', 'properties': {'book_title': {'type': 'string', 'description': 'The title of the book'}, 'author': {'type': 'string', 'description': 'The author of the book'}}, 'required': ['book_title', 'author']}}"
find_closest_gas_station,"{'name': 'find_closest_gas_station', 'description': 'Find the closest gas station based on current location', 'parameters': {'type': 'object', 'properties': {'latitude': {'type': 'number', 'description': 'The current latitude'}, 'longitude': {'type': 'number', 'description': 'The current longitude'}}, 'required': ['latitude', 'longitude']}}"
get_currency_exchange_rate,"{'name': 'get_currency_exchange_rate', 'description': 'Get the exchange rate between two currencies', 'parameters': {'type': 'object', 'properties': {'base_currency': {'type': 'string', 'description': 'The currency to convert from'}, 'target_currency': {'type': 'string', 'description': 'The currency to convert to'}}, 'required': ['base_currency', 'target_currency']}}"
find_longest_word,"{'name': 'find_longest_word', 'description': 'Find the longest word in a text', 'parameters': {'type': 'object', 'properties': {'text': {'type': 'string', 'description': 'The text to find the longest word from'}}, 'required': ['text']}}"
getNewsHeadlines,"{'name': 'getNewsHeadlines', 'description': 'Get the latest news headlines from a specific source or category', 'parameters': {'type': 'object', 'properties': {'source': {'type': 'string', 'description': 'The news source'}, 'category': {'type': 'string', 'description': 'The news category'}}}}"
search_news_articles,"{'name': 'search_news_articles', 'description': 'Search for news articles based on keywords', 'parameters': {'type': 'object', 'properties': {'keywords': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The keywords to search for'}, 'language': {'type': 'string', 'description': 'The language of the articles'}}, 'required': ['keywords']}}"
generate_meme,"{'name': 'generate_meme', 'description': 'Generate a meme with a specified image and text', 'parameters': {'type': 'object', 'properties': {'image': {'type': 'string', 'description': 'The URL or path of the image to be used'}, 'text': {'type': 'string', 'description': 'The text to be added to the meme'}}, 'required': ['image', 'text']}}"
check_internet_connection,"{'name': 'check_internet_connection', 'description': 'Check if the device has an active internet connection', 'parameters': {}}"
search_movies_by_genre,"{'name': 'search_movies_by_genre', 'description': 'Search for movies based on specified genre', 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The genre of the movies'}}, 'required': ['genre']}}"
get_recipe_suggestions,"{'name': 'get_recipe_suggestions', 'description': 'Get recipe suggestions based on dietary preferences', 'parameters': {'type': 'object', 'properties': {'dietary_preferences': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The dietary preferences of the user'}}, 'required': ['dietary_preferences']}}"
get_road_traffic,"{'name': 'get_road_traffic', 'description': 'Get information about road traffic', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location to get traffic information for'}, 'date': {'type': 'string', 'description': 'The date to get traffic information for'}}, 'required': ['location']}}"
calculate_emission,"{'name': 'calculate_emission', 'description': 'Calculate the emission of a vehicle', 'parameters': {'type': 'object', 'properties': {'vehicle_type': {'type': 'string', 'description': 'The type of the vehicle'}, 'distance': {'type': 'number', 'description': 'The distance traveled in kilometers'}, 'fuel_efficiency': {'type': 'number', 'description': 'The fuel efficiency of the vehicle in liters per kilometer'}}, 'required': ['vehicle_type', 'distance', 'fuel_efficiency']}}"
get_random_dog_image,"{'name': 'get_random_dog_image', 'description': 'Get a random image of a dog', 'parameters': {}}"
check_word_spelling,"{'name': 'check_word_spelling', 'description': 'Check the spelling of a word', 'parameters': {'type': 'object', 'properties': {'word': {'type': 'string', 'description': 'The word to check the spelling of'}}, 'required': ['word']}}"
play_sound,"{'name': 'play_sound', 'description': 'Play a specific sound', 'parameters': {'type': 'object', 'properties': {'sound': {'type': 'string', 'description': 'The sound to play'}}, 'required': ['sound']}}"
get_song_recommendations,"{'name': 'get_song_recommendations', 'description': ""Get song recommendations based on user's preferences"", 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The preferred genre of songs'}, 'mood': {'type': 'string', 'description': 'The preferred mood of songs'}}, 'required': ['genre']}}"
track_sleep,"{'name': 'track_sleep', 'description': ""Track and analyze user's sleep patterns"", 'parameters': {'type': 'object', 'properties': {'sleep_duration': {'type': 'integer', 'description': 'The duration of sleep in hours'}, 'quality_of_sleep': {'type': 'string', 'description': 'The quality of sleep (e.g., good, fair, poor)'}, 'environment': {'type': 'string', 'description': 'The sleep environment (e.g., noisy, comfortable)'}}, 'required': ['sleep_duration', 'quality_of_sleep', 'environment']}}"
check_word_similarity,"{'name': 'check_word_similarity', 'description': 'Check the similarity between two words', 'parameters': {'type': 'object', 'properties': {'word1': {'type': 'string', 'description': 'The first word'}, 'word2': {'type': 'string', 'description': 'The second word'}}, 'required': ['word1', 'word2']}}"
find_prime_numbers,"{'name': 'find_prime_numbers', 'description': 'Find prime numbers within a specified range', 'parameters': {'type': 'object', 'properties': {'start': {'type': 'integer', 'description': 'The starting number of the range'}, 'end': {'type': 'integer', 'description': 'The ending number of the range'}}, 'required': ['start', 'end']}}"
check_visa_requirements,"{'name': 'check_visa_requirements', 'description': 'Check the visa requirements for a specific country', 'parameters': {'type': 'object', 'properties': {'country': {'type': 'string', 'description': 'The country to check visa requirements for'}, 'citizenship': {'type': 'string', 'description': 'The citizenship of the traveler'}}, 'required': ['country', 'citizenship']}}"
create_new_task,"{'name': 'create_new_task', 'description': 'Create a new task', 'parameters': {'type': 'object', 'properties': {'task_name': {'type': 'string', 'description': 'The name of the task'}, 'due_date': {'type': 'string', 'description': 'The due date of the task'}, 'priority': {'type': 'string', 'description': 'The priority of the task'}}, 'required': ['task_name', 'due_date', 'priority']}}"
search_in_database,"{'name': 'search_in_database', 'description': 'Search for a specific item in the database', 'parameters': {'type': 'object', 'properties': {'search_query': {'type': 'string', 'description': 'The item to search for'}}, 'required': ['search_query']}}"
calculate_tip_percent,"{'name': 'calculate_tip_percent', 'description': 'Calculate the percentage tip based on the bill amount and tip amount', 'parameters': {'type': 'object', 'properties': {'bill_amount': {'type': 'number', 'description': 'The total bill amount'}, 'tip_amount': {'type': 'number', 'description': 'The amount of tip given'}}, 'required': ['bill_amount', 'tip_amount']}}"
calculate_payment,"{'name': 'calculate_payment', 'description': 'Calculate the monthly payment for a loan', 'parameters': {'type': 'object', 'properties': {'principal': {'type': 'number', 'description': 'The principal amount of the loan'}, 'interest_rate': {'type': 'number', 'description': 'The annual interest rate'}, 'loan_term': {'type': 'integer', 'description': 'The loan term in years'}}, 'required': ['principal', 'interest_rate', 'loan_term']}}"
create_todo_item,"{'name': 'create_todo_item', 'description': 'Create a new todo item', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the todo item'}, 'description': {'type': 'string', 'description': 'The description of the todo item'}, 'due_date': {'type': 'string', 'description': 'The due date of the todo item in format YYYY-MM-DD'}}, 'required': ['title', 'due_date']}}"
calculate_retirement_savings,"{'name': 'calculate_retirement_savings', 'description': 'Calculate the retirement savings based on monthly contributions and interest rate', 'parameters': {'type': 'object', 'properties': {'monthly_contributions': {'type': 'number', 'description': 'The monthly contributions to retirement savings'}, 'interest_rate': {'type': 'number', 'description': 'The annual interest rate'}, 'years_until_retirement': {'type': 'integer', 'description': 'The number of years until retirement'}}, 'required': ['monthly_contributions', 'interest_rate', 'years_until_retirement']}}"
calculate_income_tax,"{'name': 'calculate_income_tax', 'description': 'Calculate the income tax based on income and tax brackets', 'parameters': {'type': 'object', 'properties': {'income': {'type': 'number', 'description': 'The annual income'}, 'tax_brackets': {'type': 'array', 'items': {'type': 'object', 'properties': {'min_income': {'type': 'number', 'description': 'The minimum income for the tax bracket'}, 'max_income': {'type': 'number', 'description': 'The maximum income for the tax bracket'}, 'tax_rate': {'type': 'number', 'description': 'The tax rate for the tax bracket'}}, 'required': ['min_income', 'max_income', 'tax_rate']}, 'description': 'The tax brackets and their respective rates'}}, 'required': ['income', 'tax_brackets']}}"
calculate_vehicle_mileage,"{'name': 'calculate_vehicle_mileage', 'description': 'Calculate the mileage of a vehicle', 'parameters': {'type': 'object', 'properties': {'distance': {'type': 'number', 'description': 'The total distance travelled by the vehicle in miles'}, 'fuel_consumed': {'type': 'number', 'description': 'The total fuel consumed by the vehicle in gallons'}}, 'required': ['distance', 'fuel_consumed']}}"
get_upcoming_events,"{'name': 'get_upcoming_events', 'description': 'Get the list of upcoming events', 'parameters': {'type': 'object', 'properties': {'location': {'type': 'string', 'description': 'The location to fetch events'}, 'category': {'type': 'string', 'description': 'The category of events'}, 'date': {'type': 'string', 'format': 'date', 'description': 'The date to filter events'}}, 'required': ['location']}}"
track_calorie_intake,"{'name': 'track_calorie_intake', 'description': 'Track daily calorie intake', 'parameters': {'type': 'object', 'properties': {'date': {'type': 'string', 'description': 'The date of calorie intake'}, 'meals': {'type': 'array', 'items': {'type': 'object', 'properties': {'name': {'type': 'string'}, 'calories': {'type': 'integer'}}}, 'description': 'The meals consumed along with their calorie count'}}, 'required': ['date', 'meals']}}"
create_survey,"{'name': 'create_survey', 'description': 'Create a new survey with specified questions', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the survey'}, 'questions': {'type': 'array', 'items': {'type': 'object', 'properties': {'question_text': {'type': 'string', 'description': 'The text of the question'}, 'options': {'type': 'array', 'items': {'type': 'string'}, 'description': 'The options for the question'}}, 'required': ['question_text', 'options']}}}, 'required': ['title', 'questions']}}"
calculate_earnings,"{'name': 'calculate_earnings', 'description': 'Calculate earnings based on hourly rate and hours worked', 'parameters': {'type': 'object', 'properties': {'hourly_rate': {'type': 'number', 'description': 'The hourly rate of the worker'}, 'hours_worked': {'type': 'number', 'description': 'The number of hours worked'}}, 'required': ['hourly_rate', 'hours_worked']}}"
calculate_age_in_days,"{'name': 'calculate_age_in_days', 'description': 'Calculate the age in days based on the birth date', 'parameters': {'type': 'object', 'properties': {'birth_date': {'type': 'string', 'description': 'The birth date in YYYY-MM-DD format'}}, 'required': ['birth_date']}}"
shuffle_array,"{'name': 'shuffle_array', 'description': 'Shuffle the elements of an array', 'parameters': {'type': 'object', 'properties': {'array': {'type': 'array', 'items': {}, 'description': 'The array to be shuffled'}}, 'required': ['array']}}"
validate_credit_card,"{'name': 'validate_credit_card', 'description': 'Validate a credit card number', 'parameters': {'type': 'object', 'properties': {'credit_card_number': {'type': 'string', 'description': 'The credit card number'}}, 'required': ['credit_card_number']}}"
execute_command,"{'name': 'execute_command', 'description': 'Execute a command on the system', 'parameters': {'type': 'object', 'properties': {'command': {'type': 'string', 'description': 'The command to be executed'}}, 'required': ['command']}}"
check_word_availability,"{'name': 'check_word_availability', 'description': 'Check the availability of a username or domain name', 'parameters': {'type': 'object', 'properties': {'name': {'type': 'string', 'description': 'The username or domain name'}}, 'required': ['name']}}"
calculate_body_mass_index,"{'name': 'calculate_body_mass_index', 'description': 'Calculate the Body Mass Index (BMI)', 'parameters': {'type': 'object', 'properties': {'weight': {'type': 'number', 'description': 'The weight in kilograms'}, 'height': {'type': 'number', 'description': 'The height in meters'}}, 'required': ['weight', 'height']}}"
get_music_recommendations,"{'name': 'get_music_recommendations', 'description': 'Get music recommendations based on user preferences', 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The preferred genre of music'}, 'mood': {'type': 'string', 'description': 'The current mood to filter the recommendations'}}, 'required': ['genre']}}"
check_url_status,"{'name': 'check_url_status', 'description': 'Check the status of a URL', 'parameters': {'type': 'object', 'properties': {'url': {'type': 'string', 'description': 'The URL to check'}}, 'required': ['url']}}"
buy_product,"{'name': 'buy_product', 'description': 'Buy a product from an online store', 'parameters': {'type': 'object', 'properties': {'product_name': {'type': 'string', 'description': 'The name of the product'}, 'quantity': {'type': 'integer', 'description': 'The quantity of the product to buy'}, 'shipping_address': {'type': 'string', 'description': 'The shipping address'}}, 'required': ['product_name', 'quantity', 'shipping_address']}}"
get_quotes,"{'name': 'get_quotes', 'description': 'Get stock quotes for a given company', 'parameters': {'type': 'object', 'properties': {'company': {'type': 'string', 'description': 'The name of the company'}, 'date': {'type': 'string', 'description': 'The date for which the quotes are required'}}, 'required': ['company', 'date']}}"
get_movie_showtimes,"{'name': 'get_movie_showtimes', 'description': 'Get the showtimes for a specific movie', 'parameters': {'type': 'object', 'properties': {'movie_title': {'type': 'string', 'description': 'The title of the movie'}, 'location': {'type': 'string', 'description': 'The location for which to retrieve showtimes'}}, 'required': ['movie_title', 'location']}}"
get_movie_recommendation,"{'name': 'get_movie_recommendation', 'description': ""Get a movie recommendation based on user's preferences"", 'parameters': {'type': 'object', 'properties': {'genre': {'type': 'string', 'description': 'The preferred genre of the movie'}, 'year': {'type': 'integer', 'description': 'The preferred release year of the movie'}}, 'required': ['genre', 'year']}}"
track_fitness,"{'name': 'track_fitness', 'description': 'Track fitness progress', 'parameters': {'type': 'object', 'properties': {'activity': {'type': 'string', 'description': 'The type of fitness activity'}, 'duration': {'type': 'integer', 'description': 'The duration of the activity in minutes'}, 'calories_burned': {'type': 'integer', 'description': 'The number of calories burned during the activity'}}, 'required': ['activity', 'duration', 'calories_burned']}}"
evaluate_expression,"{'name': 'evaluate_expression', 'description': 'Evaluate a mathematical expression', 'parameters': {'type': 'object', 'properties': {'expression': {'type': 'string', 'description': 'The mathematical expression to evaluate'}}, 'required': ['expression']}}"
get_public_ip,"{'name': 'get_public_ip', 'description': 'Get the public IP address', 'parameters': {}}"
get_bus_schedule,"{'name': 'get_bus_schedule', 'description': 'Get the bus schedule for a specified route', 'parameters': {'type': 'object', 'properties': {'route_number': {'type': 'string', 'description': 'The number of the bus route'}}, 'required': ['route_number']}}"
track_fitness_goals,"{'name': 'track_fitness_goals', 'description': 'Track progress towards fitness goals', 'parameters': {'type': 'object', 'properties': {'goal': {'type': 'string', 'description': 'The fitness goal to track'}, 'progress': {'type': 'number', 'description': 'The current progress towards the goal'}, 'target': {'type': 'number', 'description': 'The target value for the goal'}}, 'required': ['goal', 'progress', 'target']}}"
get_synonyms,"{'name': 'get_synonyms', 'description': 'Get synonyms for a word', 'parameters': {'type': 'object', 'properties': {'word': {'type': 'string', 'description': 'The word to get synonyms for'}}, 'required': ['word']}}"
